Estimate,lwr,upr,sign,se,dof,Attributes,time,experiment,ps_corrected,star
0.0653130122079355,0.0321268083198428,0.0984992160960281,1.4843176421114299e-08,0.0115209051663925,8192.98911059756,confidence,1,ATT,1.7811811705337158e-07,***
0.0268760456340118,-0.0113840183015548,0.0651361095695784,0.04305837458377,0.0132823437639379,8639.957706487181,correctness,1,ATT,0.5167004950052401,n.s.
-0.0191429068490598,-0.053632109360266,0.0153462956621464,0.10990127712249599,0.0119732534861778,8421.94917448124,awareness,4,ATT,1.0,n.s.
0.008380152481187059,-0.0262381891706858,0.0429984941330599,0.485637544331372,0.0120180853626379,8341.31865254597,awareness,1,ATT,1.0,n.s.
0.0091124967297339,-0.0291968508320066,0.0474218442914744,0.49324975331387105,0.0132994530417968,8658.14675856678,correctness,2,ATT,1.0,n.s.
0.0054411080262520605,-0.0277000246999523,0.0385822407524564,0.63628025234855,0.0115052582854294,8220.25675024908,confidence,3,ATT,1.0,n.s.
-0.00623194737446727,-0.0446173400829752,0.0321534453340406,0.640040628717289,0.0133258528351334,8670.53485427874,correctness,3,ATT,1.0,n.s.
-0.00480849388273685,-0.0395302848711785,0.0299132971057049,0.689967559876932,0.0120539987801579,8458.09003629068,awareness,3,ATT,1.0,n.s.
0.00448986779894551,-0.028670647563107006,0.037650383160998,0.6965342705505251,0.0115119871511422,8217.4229863513,confidence,2,ATT,1.0,n.s.
-0.00180947349461924,-0.040062467117833005,0.0364435201285945,0.891621538796652,0.0132798892380033,8672.335760176651,correctness,4,ATT,1.0,n.s.
0.0014410091377423599,-0.0333029320073818,0.0361849502828666,0.904905894334539,0.0120616884169545,8459.308517509671,awareness,2,ATT,1.0,n.s.
-0.00111610039504849,-0.0342495415319839,0.0320173407418869,0.9227046491353579,0.0115025880773259,8191.09111399611,confidence,4,ATT,1.0,n.s.
0.23927197727881397,0.20904721151262198,0.269496743045007,1.1269003244864498e-111,0.0104929084109221,8266.31443861485,confidence,1,POS,1.3522803893837397e-110,***
0.15089942988774402,0.11970934159207501,0.182089518183413,1.1909503007998599e-43,0.0108280322946654,8264.77810309005,awareness,1,POS,1.4291403609598319e-42,***
0.101588051354063,0.071298984605631,0.131877118102495,5.76499724652869e-22,0.0105152313074034,8265.96824718895,confidence,2,POS,6.917996695834427e-21,***
0.0594036951866721,0.0280812165085736,0.0907261738647707,4.8199613040343895e-08,0.0108739932846716,8264.435812276372,awareness,2,POS,5.783953564841267e-07,***
0.0448647452764693,0.0145727526373337,0.0751567379156048,2.01018050305135e-05,0.0105162470672413,8265.9826923454,confidence,3,POS,0.000241221660366162,***
0.0341242596461666,0.0038451216395814104,0.0644033976527518,0.0011738709557423599,0.0105117844195222,8266.48216916285,confidence,4,POS,0.014086451468908318,*
0.0233076427838151,-0.00801105299171298,0.0546263385593433,0.0320869227181952,0.0108726800023618,8264.3906288005,awareness,3,POS,0.3850430726183424,n.s.
0.015425102360856,-0.0157665918282793,0.0466167965499914,0.154345520344435,0.0108285898008241,8264.767544178008,awareness,4,POS,1.0,n.s.
-0.0140211993273536,-0.0487863961801798,0.0207439975254725,0.24537617121736102,0.0120691762935815,8265.50385614554,correctness,4,POS,1.0,n.s.
0.0105817369914868,-0.0242317728995455,0.0453952468825191,0.38130535706947605,0.0120859487737679,8264.64006532688,correctness,2,POS,1.0,n.s.
0.00577463849055132,-0.0290046756238019,0.0405539526049046,0.632472490440265,0.012074077278865001,8265.08167399276,correctness,1,POS,1.0,n.s.
0.00507668375449782,-0.0297815093029839,0.0399348768119796,0.6748543626673791,0.0121014610982203,8265.10051477092,correctness,3,POS,1.0,n.s.
