ps_mean,ps_std,level1,level2,p_corrected
0.00010278972102789719,1.649562293954707e-05,2,1,0.0006167383261673832
0.0003435656434356564,0.0001503812384258114,3,1,0.0020613938606139385
0.0022963703629637036,0.00047703555961725,4,1,0.013778222177782223
0.02027157284271573,0.0013863904951557488,3,2,0.12162943705629436
0.08001579842015799,0.002673997650674025,4,2,0.48009479052094794
0.9482087791220878,0.002199995226313239,3,4,1.0
0.0009685031496850315,0.00029328626932176196,RT_confidence,RT_correct,0.0029055094490550945
0.09164663533646636,0.0028517222541323793,RT_confidence,RT_awareness,0.2749399060093991
0.9330312968703129,0.0025044041944553906,RT_awareness,RT_correct,1.0
0.0003453654634536546,0.00016417505608544002,1_RT_confidence,1_RT_correct,0.004144385561443855
0.0004481551844815519,0.00019516439683187718,2_RT_confidence,2_RT_awareness,0.005377862213778622
0.0008319168083191681,0.0002753195217818322,2_RT_confidence,2_RT_correct,0.009983001699830019
0.004990100989901009,0.0007205746243449543,1_RT_confidence,1_RT_awareness,0.05988121187881211
0.14272112788721125,0.003205013621627202,4_RT_correct,4_RT_confidence,1.0
0.3094002599740026,0.004658051830288581,4_RT_correct,4_RT_awareness,1.0
0.4124571542845716,0.004803904839698973,3_RT_awareness,3_RT_correct,1.0
0.4438234176582342,0.005207874662190039,3_RT_confidence,3_RT_correct,1.0
0.500051394860514,0.004963358823164931,1_RT_awareness,1_RT_correct,1.0
0.8652510748925107,0.003329583893425432,3_RT_awareness,3_RT_confidence,1.0
0.8748265173482652,0.0034302784901852866,2_RT_correct,2_RT_awareness,1.0
0.885903609639036,0.0031629350654594143,4_RT_awareness,4_RT_confidence,1.0
0.11705749425057493,0.003290836570028633,1,3,0.7023449655034496
0.2172938706129387,0.0041586124675819834,1,4,1.0
0.42836776322367764,0.00506625443464216,2,4,1.0
0.5679642035796421,0.004959203566507448,2,3,1.0
0.6612980701929807,0.004688963730288749,1,2,1.0
1.0,0.0,3,4,1.0
0.16761423857614238,0.003741536989019481,RT_correct,RT_confidence,0.5028427157284272
0.3067115288471152,0.004773581623459058,RT_awareness,RT_confidence,0.9201345865413457
0.5159440055994401,0.004717093408386738,RT_correct,RT_awareness,1.0
0.03246575342465754,0.0017736149036861372,1_RT_correct,1_RT_confidence,0.38958904109589043
0.03974342565743426,0.001928996888797468,1_RT_awareness,1_RT_confidence,0.4769211078892111
0.24227477252274773,0.004342341260877078,4_RT_correct,4_RT_awareness,1.0
0.2702953704629537,0.0044589417588545175,2_RT_correct,2_RT_confidence,1.0
0.3218854114588541,0.004532661583478709,2_RT_awareness,2_RT_confidence,1.0
0.3924225577442255,0.005027856863344351,1_RT_correct,1_RT_awareness,1.0
0.48295590440955904,0.004879024610075465,4_RT_correct,4_RT_confidence,1.0
0.49271812818718125,0.005118358863789477,3_RT_awareness,3_RT_correct,1.0
0.6300983901609839,0.00481081084936368,4_RT_confidence,4_RT_awareness,1.0
0.6696050394960505,0.0048858245470939895,3_RT_confidence,3_RT_correct,1.0
0.7043273672632736,0.004581713274613862,3_RT_awareness,3_RT_confidence,1.0
0.9418094190580941,0.00237467032907203,2_RT_correct,2_RT_awareness,1.0
